imputer,RF_acc_mean,RF_acc_std,XGB_acc_mean,XGB_acc_std
mean,0.8181420765027323,0.05018928606867691,0.7983060109289617,0.059879939999211554
median,0.8214754098360656,0.043563121196517264,0.8083606557377049,0.03525314450933832
most_frequent,0.8214754098360656,0.043563121196517264,0.8083606557377049,0.03525314450933832
knn,0.8016393442622951,0.06439189934305635,0.8018032786885245,0.035485313877299536
